Country,Date,Count
Austria,23-03-2020,3244
Azerbaijan,22-01-2020,0
Azerbaijan,23-01-2020,0
Azerbaijan,24-01-2020,0
Azerbaijan,25-01-2020,0
Azerbaijan,26-01-2020,0
Azerbaijan,27-01-2020,0
Azerbaijan,28-01-2020,0
Azerbaijan,29-01-2020,0
Azerbaijan,30-01-2020,0
Azerbaijan,31-01-2020,0
Azerbaijan,02-01-2020,0
Azerbaijan,02-02-2020,0
Azerbaijan,02-03-2020,0
Azerbaijan,02-04-2020,0
Azerbaijan,02-05-2020,0
Azerbaijan,02-06-2020,0
Azerbaijan,02-07-2020,0
Azerbaijan,02-08-2020,0
Azerbaijan,02-09-2020,0
Azerbaijan,02-10-2020,0
Azerbaijan,02-11-2020,0
Azerbaijan,02-12-2020,0
Azerbaijan,13-02-2020,0
Azerbaijan,14-02-2020,0
Azerbaijan,15-02-2020,0
Azerbaijan,16-02-2020,0
Azerbaijan,17-02-2020,0
Azerbaijan,18-02-2020,0
Azerbaijan,19-02-2020,0
Azerbaijan,20-02-2020,0
Azerbaijan,21-02-2020,0
Azerbaijan,22-02-2020,0
Azerbaijan,23-02-2020,0
Azerbaijan,24-02-2020,0
Azerbaijan,25-02-2020,0
Azerbaijan,26-02-2020,0
Azerbaijan,27-02-2020,0
Azerbaijan,28-02-2020,0
Azerbaijan,29-02-2020,0
Azerbaijan,03-01-2020,3
Azerbaijan,03-02-2020,3
Azerbaijan,03-03-2020,3
Azerbaijan,03-04-2020,3
Azerbaijan,03-05-2020,6
Azerbaijan,03-06-2020,6
Azerbaijan,03-07-2020,9
Azerbaijan,03-08-2020,9
Azerbaijan,03-09-2020,9
Azerbaijan,03-10-2020,11
Azerbaijan,03-11-2020,11
Azerbaijan,03-12-2020,11
Azerbaijan,13-03-2020,15
Azerbaijan,14-03-2020,15
Azerbaijan,15-03-2020,23
Azerbaijan,16-03-2020,15
Azerbaijan,17-03-2020,28
Azerbaijan,18-03-2020,28
Azerbaijan,19-03-2020,44
Azerbaijan,20-03-2020,44
Azerbaijan,21-03-2020,53
Azerbaijan,22-03-2020,65
Azerbaijan,23-03-2020,65
"Bahamas, The",22-01-2020,0
"Bahamas, The",23-01-2020,0
"Bahamas, The",24-01-2020,0
"Bahamas, The",25-01-2020,0
"Bahamas, The",26-01-2020,0
"Bahamas, The",27-01-2020,0
"Bahamas, The",28-01-2020,0
"Bahamas, The",29-01-2020,0
"Bahamas, The",30-01-2020,0
